,p0q0
1,0.258
2,0.253
3,0.259
4,0.224
5,0.256
6,0.216
7,0.232
8,0.217
9,0.251
10,0.222
11,0.252
12,0.221
13,0.246
14,0.249
15,0.245
16,0.231
17,0.217
18,0.236
19,0.261
20,0.228
21,0.216
22,0.227
23,0.254
24,0.271
25,0.283
26,0.267
27,0.28
28,0.255
29,0.269
30,0.238
31,0.255
32,0.244
33,0.276
34,0.255
35,0.271
36,0.238
37,0.271
38,0.283
39,0.276
40,0.247
41,0.248
42,0.269
43,0.282
44,0.28
45,0.251
46,0.272
47,0.287
48,0.277
49,0.278
50,0.259
51,0.28
52,0.26
53,0.272
54,0.239
55,0.262
56,0.232
57,0.286
58,0.252
59,0.269
60,0.246
61,0.278
62,0.288
63,0.292
64,0.244
65,0.251
66,0.256
67,0.285
68,0.278
69,0.244
70,0.331
71,0.3
72,0.29
73,0.277
74,0.259
75,0.267
76,0.244
77,0.259
78,0.218
79,0.236
80,0.226
81,0.26
82,0.242
83,0.263
84,0.239
85,0.259
86,0.263
87,0.262
88,0.239
89,0.218
90,0.248
91,0.278
92,0.249
93,0.24
94,0.246
95,0.274
96,0.291
97,0.24
98,0.238
99,0.245
100,0.222
101,0.243
102,0.212
103,0.208
104,0.199
105,0.237
106,0.209
107,0.242
108,0.218
109,0.23
110,0.231
111,0.23
112,0.228
113,0.202
114,0.224
115,0.24
116,0.215
117,0.201
118,0.204
119,0.233
120,0.243
121,0.18
122,0.17
123,0.181
124,0.155
125,0.18
126,0.153
127,0.148
128,0.136
129,0.176
130,0.154
131,0.168
132,0.152
133,0.166
134,0.156
135,0.164
136,0.172
137,0.144
138,0.168
139,0.163
140,0.154
141,0.148
142,0.141
143,0.164
144,0.172
145,0.129
146,0.121
147,0.156
148,0.118
149,0.14
150,0.11
151,0.114
152,0.102
153,0.127
154,0.115
155,0.121
156,0.109
157,0.126
158,0.122
159,0.135
160,0.14
161,0.106
162,0.126
163,0.127
164,0.121
165,0.104
166,0.097
167,0.126
168,0.132
169,0.121
170,0.121
171,0.121
172,0.121
173,0.121
174,0.121
175,0.121
176,0.121
177,0.121
